제품명,상품url,가격,할인가격,브랜드,조회수,누적판매,좋아요,이미지url,남성구매비율,여성구매비율,~18세,19세~23세,24세~28세,29세~33세,34세~39세,40세~
[21FW] [오리지널스]21FW OVERSIZED HEAVY DOWN PARKA NAVY,https://www.musinsa.com/app/goods/2161261,269000,161400,비슬로우,3.5천 회 이상,100개 이상,536,//image.msscdn.net/images/goods_img/20211005/2161261/2161261_1_500.jpg?t=20211005111128,84%,16%,15%,25%,24%,18%,16%,2%
KARAKORAM GOOSE DOWN PARKA_GRAY,https://www.musinsa.com/app/goods/2263447,395000,355500,아웃스탠딩,4.9천 회 이상,50개 미만,387,//image.msscdn.net/images/goods_img/20211209/2263447/2263447_1_500.jpg?t=20211209135837,83%,17%,0%,3%,23%,23%,28%,23%
[20FW] 더블 다운 코트 BLACK,https://www.musinsa.com/app/goods/1630217,249000,99600,인사일런스,1.7만 회 이상,100개 이상,710,//image.msscdn.net/images/goods_img/20200929/1630217/1630217_2_500.jpg?t=20201006160436,82%,18%,4%,14%,36%,22%,12%,12%
NJ1DN77B 비 베러 다운 자켓,https://www.musinsa.com/app/goods/2712607,299000,269100,노스페이스,8.2천 회 이상,50개 이상,664,//image.msscdn.net/images/goods_img/20220811/2712607/2712607_1_500.jpg?t=20220811134248,49%,51%,11%,28%,30%,25%,1%,5%
utility mountain down parka khaki,https://www.musinsa.com/app/goods/2886423,299000,269100,유니폼브릿지,7.7천 회 이상,50개 미만,239,//image.msscdn.net/images/goods_img/20221024/2886423/2886423_1_500.jpg?t=20221024134627,93%,7%,3%,19%,37%,19%,0%,22%
빅 배플 자켓 - 바이올렛 / GT6537,https://www.musinsa.com/app/goods/2142605,269000,80700,아디다스,4.5천 회 이상,50개 이상,396,//image.msscdn.net/images/goods_img/20210923/2142605/2142605_1_500.jpg?t=20210923163955,56%,44%,10%,3%,14%,19%,22%,32%
트래블 NPM 폴라 다운 파카 라이트 그레이,https://www.musinsa.com/app/goods/2145249,529000,423200,씨엔엔 어패럴,400회 이상,,35,//image.msscdn.net/images/goods_img/20210924/2145249/2145249_1_500.jpg?t=20210929011315,,,,,,,,
유틸리티 후드 숏 패딩-그레이,https://www.musinsa.com/app/goods/2772721,128000,96000,필루미네이트,5천 회 이상,50개 이상,537,//image.msscdn.net/images/goods_img/20220906/2772721/2772721_5_500.jpg?t=20221117151952,56%,44%,18%,22%,32%,16%,7%,5%
RR DOWN SHORT JACKET - NAVY,https://www.musinsa.com/app/goods/2886567,388000,388000,레스트앤레크레이션,1.2천 회 이상,,144,//image.msscdn.net/images/goods_img/20221024/2886567/2886567_2_500.jpg?t=20221025170310,,,,,,,,
덕다운 유틸리티 후드 패딩_Smoke Beige,https://www.musinsa.com/app/goods/2877767,186000,118000,라퍼지스토어,4천 회 이상,,219,//image.msscdn.net/images/goods_img/20221019/2877767/2877767_1_500.jpg?t=20221020202944,,,,,,,,
플라이트 파카 FLIGHT PARKA,https://www.musinsa.com/app/goods/2130674,179000,179000,모노플로우,400회 이상,50개 미만,120,//image.msscdn.net/images/goods_img/20210914/2130674/2130674_4_500.jpg?t=20211110182024,90%,10%,5%,14%,57%,0%,14%,10%
우먼즈 다운 푸퍼 숏 패딩 재킷 [라이트 베이지],https://www.musinsa.com/app/goods/2515915,109900,87890,무신사 스탠다드,5.2천 회 이상,50개 이상,413,//image.msscdn.net/images/goods_img/20220426/2515915/2515915_1_500.jpg?t=20220922190832,21%,79%,8%,23%,30%,17%,13%,9%
N224WDW930 여성 타루가 퍼 트리밍 후디 구스다운 점퍼 MINT,https://www.musinsa.com/app/goods/2685537,379000,349000,내셔널지오그래픽,5.5천 회 이상,50개 미만,399,//image.msscdn.net/images/goods_img/20220727/2685537/2685537_6_500.jpg?t=20220829093157,54%,46%,4%,12%,19%,19%,15%,31%
NJ1DN67A 프레이즈 다운 자켓,https://www.musinsa.com/app/goods/2879094,379000,341100,노스페이스,4.6천 회 이상,50개 미만,190,//image.msscdn.net/images/goods_img/20221020/2879094/2879094_1_500.jpg?t=20221020152329,83%,17%,17%,4%,42%,29%,4%,4%
알래스카 푸퍼 (T32C9QJC57TMT1BDS),https://www.musinsa.com/app/goods/2844075,378000,378000,타미진스,1.2천 회 이상,,120,//image.msscdn.net/images/goods_img/20221006/2844075/2844075_2_500.jpg?t=20221014154252,,,,,,,,
CLOVER SHORT DOWN-BLACK,https://www.musinsa.com/app/goods/2766721,259000,181300,에이카화이트,1천 회 이상,,67,//image.msscdn.net/images/goods_img/20220902/2766721/2766721_1_500.jpg?t=20221027112352,,,,,,,,
여성 CK 구스 다운 자켓 BRILLIANT WHITE,https://www.musinsa.com/app/goods/2772147,189000,189000,캘빈클라인 골프,1.4천 회 이상,,49,//image.msscdn.net/images/goods_img/20220906/2772147/2772147_1_500.jpg?t=20221020151518,,,,,,,,
RDS 라이트 다운 점퍼 세이지 그레이,https://www.musinsa.com/app/goods/2081583,119000,83300,커버낫,3.1천 회 이상,300개 이상,"1,819",//image.msscdn.net/images/goods_img/20210823/2081583/2081583_2_500.jpg?t=20210827174554,54%,46%,5%,12%,18%,22%,12%,31%
NBNPC4W962 / [연아다운] WOMEN 에센셜 롱구스다운(BLACK),https://www.musinsa.com/app/goods/2888414,429000,429000,뉴발란스,1.9천 회 이상,,140,//image.msscdn.net/images/goods_img/20221024/2888414/2888414_2_500.jpg?t=20221115142856,,,,,,,,
엠보스 로고 숏 푸퍼 퍼플,https://www.musinsa.com/app/goods/2837462,149000,126650,트레셔,3.3천 회 이상,50개 미만,175,//image.msscdn.net/images/goods_img/20221004/2837462/2837462_1_500.jpg?t=20221012114548,48%,52%,14%,36%,29%,10%,4%,7%
Almighty Goose Down Jacket Blue,https://www.musinsa.com/app/goods/2874366,329000,329000,예스아이씨,7.8천 회 이상,,345,//image.msscdn.net/images/goods_img/20221018/2874366/2874366_1_500.jpg?t=20221019153350,,,,,,,,
두들 체리 서클 로고 루즈핏 다운 [아이보리],https://www.musinsa.com/app/goods/2845715,219000,208050,키르시,1.1천 회 이상,,209,//image.msscdn.net/images/goods_img/20221006/2845715/2845715_1_500.jpg?t=20221006201036,,,,,,,,
Reversible Team Parka Black/Silver,https://www.musinsa.com/app/goods/2355833,168000,134400,스컬프터,3.9천 회 이상,50개 이상,"1,008",//image.msscdn.net/images/goods_img/20220211/2355833/2355833_2_500.jpg?t=20220217100939,21%,79%,5%,50%,26%,9%,0%,10%
NJ1DN86C 폴라 에어 다운 봄버,https://www.musinsa.com/app/goods/2863424,399000,359100,노스페이스,2.8천 회 이상,,196,//image.msscdn.net/images/goods_img/20221014/2863424/2863424_1_500.jpg?t=20221014151458,,,,,,,,
N214MKT830 클러스터 니트&다운 하이브리드 하이넥 집업 CARBON BLACK,https://www.musinsa.com/app/goods/2229417,269000,195200,내셔널지오그래픽,500회 이상,50개 미만,163,//image.msscdn.net/images/goods_img/20211112/2229417/2229417_1_500.jpg?t=20211112141626,69%,31%,12%,19%,15%,8%,19%,27%
TRAPEZIUM DUCK DOWN PADDING JUMPER MFTPD003-BK,https://www.musinsa.com/app/goods/2873410,399000,399000,매스노운,,,49,//image.msscdn.net/images/goods_img/20221018/2873410/2873410_1_500.jpg?t=20221020113005,,,,,,,,
빅배플 다운 재킷 GT6535,https://www.musinsa.com/app/goods/2933651,188300,188300,아디다스,300회 이상,,16,//image.msscdn.net/images/goods_img/20221110/2933651/2933651_11_500.jpg?t=20221114163018,,,,,,,,
우먼즈 다운 푸퍼 크롭 패딩 재킷 [라이트 그레이],https://www.musinsa.com/app/goods/2653647,109900,87890,무신사 스탠다드,5.1천 회 이상,50개 미만,464,//image.msscdn.net/images/goods_img/20220708/2653647/2653647_1_500.jpg?t=20221006105036,13%,87%,0%,23%,46%,10%,3%,18%
NGC 다이드 다운 파카_그린(NG2CWUB900A),https://www.musinsa.com/app/goods/2787970,259000,181300,나이스고스트클럽,3.2천 회 이상,50개 미만,539,//image.msscdn.net/images/goods_img/20220913/2787970/2787970_2_500.jpg?t=20220914180428,41%,59%,15%,19%,30%,14%,0%,22%
"ECO-FRIENDLY CROPPED PUFFER JACKET WITH NECK WARMER, IVORY",https://www.musinsa.com/app/goods/2866680,398000,398000,쿠메,700회 이상,,122,//image.msscdn.net/images/goods_img/20221017/2866680/2866680_2_500.jpg?t=20221018104758,,,,,,,,
