제품명,상품url,가격,할인가격,브랜드,조회수,누적판매,좋아요,이미지url,남성구매비율,여성구매비율,~18세,19세~23세,24세~28세,29세~33세,34세~39세,40세~
[PRIMALOFT] 몬스터 숏패딩_차콜,https://www.musinsa.com/app/goods/2154880,139000,99900,코드그라피,4.1만 회 이상,1.9천 개 이상,"8,111",//image.msscdn.net/images/goods_img/20210930/2154880/2154880_2_500.jpg?t=20220926094230,86%,14%,5%,30%,31%,18%,9%,7%
N224WDW770 여성 카이만 프로 롱기장 구스 다운 점퍼 L BLUE,https://www.musinsa.com/app/goods/2685525,439000,369000,내셔널지오그래픽,4.5천 회 이상,,369,//image.msscdn.net/images/goods_img/20220727/2685525/2685525_10_500.jpg?t=20220829093226,,,,,,,,
몬스터 다운 파카 [블랙],https://www.musinsa.com/app/goods/2682099,189900,161390,무신사 스탠다드,7.5천 회 이상,50개 이상,326,//image.msscdn.net/images/goods_img/20220726/2682099/2682099_1_500.jpg?t=20221104103921,92%,8%,1%,6%,33%,18%,32%,10%
PUFFER DOWN JACKET (IVORY),https://www.musinsa.com/app/goods/2932694,268000,268000,시눈,1000회 이상,,158,//image.msscdn.net/images/goods_img/20221110/2932694/2932694_1_500.jpg?t=20221110133000,,,,,,,,
7IF2086 공용 에어그램™ 플러스 롱 다운 자켓,https://www.musinsa.com/app/goods/2797371,399000,239400,네파,4.3천 회 이상,50개 이상,196,//image.msscdn.net/images/goods_img/20220916/2797371/2797371_1_500.jpg?t=20220927130320,42%,58%,0%,16%,50%,20%,4%,10%
A2 패스트 히팅 패딩 나일론 점퍼_블랙,https://www.musinsa.com/app/goods/1683192,168000,134400,인템포무드,9.7천 회 이상,200개 이상,"1,245",//image.msscdn.net/images/goods_img/20201109/1683192/1683192_26_500.jpg?t=20221107161350,94%,6%,4%,30%,43%,17%,3%,3%
N224WDW930 여성 타루가 퍼 트리밍 후디 구스다운 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/2685539,379000,349000,내셔널지오그래픽,1만 회 이상,100개 이상,801,//image.msscdn.net/images/goods_img/20220727/2685539/2685539_7_500.jpg?t=20221026151931,27%,73%,22%,20%,12%,7%,7%,32%
STORM DOWN PARKA_KHAKI,https://www.musinsa.com/app/goods/2857021,298000,268200,아웃스탠딩,6.3천 회 이상,,283,//image.msscdn.net/images/goods_img/20221013/2857021/2857021_1_500.jpg?t=20221017095525,,,,,,,,
우먼즈 코듀로이 다운 푸퍼 숏 패딩 재킷 [크림],https://www.musinsa.com/app/goods/2117240,139900,125890,무신사 스탠다드,5천 회 이상,200개 이상,"1,682",//image.msscdn.net/images/goods_img/20210908/2117240/2117240_3_500.jpg?t=20220908130534,22%,78%,6%,31%,34%,13%,6%,10%
레스터G RDS 구스다운 여성 롱패딩 (L/GREY),https://www.musinsa.com/app/goods/2758331,399000,399000,디스커버리 익스페디션,2.9천 회 이상,50개 미만,233,//image.msscdn.net/images/goods_img/20220831/2758331/2758331_4_500.jpg?t=20221114163729,29%,71%,4%,13%,63%,4%,8%,8%
[박서준 착용] 남 타우페 릴렉스핏 퀼티드 다운 숏 푸퍼 재킷 J323234 A03,https://www.musinsa.com/app/goods/2869439,279000,251100,캘빈클라인 진,6.2천 회 이상,50개 미만,173,//image.msscdn.net/images/goods_img/20221017/2869439/2869439_11_500.jpg?t=20221028151902,79%,21%,24%,21%,39%,10%,3%,3%
FOUL WEATHER DOWN PARKA_NAVY,https://www.musinsa.com/app/goods/2857026,298000,268200,아웃스탠딩,5.2천 회 이상,50개 미만,219,//image.msscdn.net/images/goods_img/20221013/2857026/2857026_1_500.jpg?t=20221017095614,100%,0%,0%,0%,27%,32%,32%,9%
102 RDS Short Reversible Puffer Down Mauve/silver,https://www.musinsa.com/app/goods/2796513,218000,185300,스컬프터,1.1만 회 이상,50개 이상,"1,977",//image.msscdn.net/images/goods_img/20220916/2796513/2796513_4_500.jpg?t=20220929172003,6%,94%,12%,45%,24%,11%,3%,5%
071924 목넥 푸파 다운_5color,https://www.musinsa.com/app/goods/2208254,158000,128000,지오다노,3.2천 회 이상,900개 이상,"2,065",//image.msscdn.net/images/goods_img/20211101/2208254/2208254_4_500.jpg?t=20221021161208,84%,16%,15%,42%,27%,7%,0%,9%
시티캠퍼 롱 다운 자켓_YG,https://www.musinsa.com/app/goods/2809542,499000,409000,스노우피크 어패럴,1.6천 회 이상,,41,//image.msscdn.net/images/goods_img/20220921/2809542/2809542_11_500.jpg?t=20221004163357,,,,,,,,
NJ3NN61C 아스펜 EX 온볼 자켓,https://www.musinsa.com/app/goods/2849311,219000,186150,노스페이스,2만 회 이상,100개 이상,"1,527",//image.msscdn.net/images/goods_img/20221008/2849311/2849311_1_500.jpg?t=20221008224141,39%,61%,17%,20%,13%,13%,10%,27%
퀼팅 웜업 자켓 가디건_2color,https://www.musinsa.com/app/goods/2739121,79000,59900,코드그라피,5.4만 회 이상,1.2천 개 이상,"6,831",//image.msscdn.net/images/goods_img/20220824/2739121/2739121_2_500.jpg?t=20221021144139,32%,68%,10%,34%,30%,11%,6%,9%
NJ2DN50D 에어 히트 다운 자켓,https://www.musinsa.com/app/goods/2863441,429000,386100,노스페이스,2.6천 회 이상,,98,//image.msscdn.net/images/goods_img/20221014/2863441/2863441_1_500.jpg?t=20221014151703,,,,,,,,
M콜드제로라이트다운자켓_BK,https://www.musinsa.com/app/goods/2801795,529000,339000,블랙야크,1.5천 회 이상,,27,//image.msscdn.net/images/goods_img/20220919/2801795/2801795_3_500.jpg?t=20220929150641,,,,,,,,
KIVANCHY X DIAGONAL SHORT PUFFER_GREEN,https://www.musinsa.com/app/goods/2899101,268000,227800,아웃스탠딩,9.2천 회 이상,50개 미만,206,//image.msscdn.net/images/goods_img/20221027/2899101/2899101_2_500.jpg?t=20221107143742,95%,5%,0%,4%,10%,48%,19%,19%
Down Blouson Charcoal,https://www.musinsa.com/app/goods/2814803,249000,224100,디스이즈네버댓,7.9천 회 이상,50개 이상,513,//image.msscdn.net/images/goods_img/20220923/2814803/2814803_1_500.jpg?t=20220928140325,78%,22%,5%,31%,28%,22%,5%,9%
코듀로이 다운 점퍼 CORDUROY DOWN JP,https://www.musinsa.com/app/goods/2737341,249000,199200,아웃도어 프로덕츠,1.1천 회 이상,,88,//image.msscdn.net/images/goods_img/20220823/2737341/2737341_9_500.jpg?t=20220922155009,,,,,,,,
PERTEX® T Long Down Parka Black,https://www.musinsa.com/app/goods/2889297,339000,237300,디스이즈네버댓,7.3천 회 이상,50개 이상,348,//image.msscdn.net/images/goods_img/20221025/2889297/2889297_1_500.jpg?t=20221025111449,49%,51%,4%,24%,40%,13%,8%,11%
[YOUTH]보아퍼 카라 숏구스점퍼 - 2color MWDJ8151,https://www.musinsa.com/app/goods/2157066,199000,169200,마인드브릿지,4.6천 회 이상,100개 이상,425,//image.msscdn.net/images/goods_img/20210930/2157066/2157066_3_500.jpg?t=20220929155146,77%,23%,3%,17%,33%,27%,11%,9%
RDS 마운틴 미드 푸퍼 블랙,https://www.musinsa.com/app/goods/2831728,269000,215200,커버낫,6천 회 이상,50개 이상,273,//image.msscdn.net/images/goods_img/20220930/2831728/2831728_2_500.jpg?t=20221004125856,31%,69%,10%,4%,10%,23%,19%,34%
우먼즈 다운 푸퍼 크롭 패딩 재킷 [아이보리],https://www.musinsa.com/app/goods/2653645,109900,109900,무신사 스탠다드,2.2만 회 이상,100개 이상,"2,367",//image.msscdn.net/images/goods_img/20220708/2653645/2653645_3_500.jpg?t=20221021141012,11%,89%,6%,31%,29%,11%,8%,15%
fishtail short down parka black,https://www.musinsa.com/app/goods/2896681,399000,359100,로드 존 그레이,3천 회 이상,,118,//image.msscdn.net/images/goods_img/20221027/2896681/2896681_1_500.jpg?t=20221102195702,,,,,,,,
NBNPC42913 / UNI 액티브 에어 후디 다운 자켓 (BLACK),https://www.musinsa.com/app/goods/2150308,329000,329000,뉴발란스,1.2만 회 이상,100개 이상,"1,820",//image.msscdn.net/images/goods_img/20210928/2150308/2150308_3_500.jpg?t=20221103161145,51%,49%,13%,25%,23%,20%,5%,14%
NJ3NN71C 아스펜 온볼 자켓,https://www.musinsa.com/app/goods/2741893,219000,208050,노스페이스,4.1만 회 이상,200개 이상,"4,611",//image.msscdn.net/images/goods_img/20220825/2741893/2741893_1_500.jpg?t=20220825132437,43%,57%,27%,27%,15%,4%,3%,24%
[3PACK] DAILY SHORT PUFFER (PADDING) BLACK,https://www.musinsa.com/app/goods/2922259,258000,129000,예일,6.1천 회 이상,50개 이상,349,//image.msscdn.net/images/goods_img/20221104/2922259/2922259_1_500.jpg?t=20221104145752,40%,60%,11%,19%,25%,7%,6%,32%
쉘블록 2-WAY 플랩 숏패딩_라이트베이지,https://www.musinsa.com/app/goods/2156653,109000,99900,키뮤어,1.2만 회 이상,200개 이상,"1,987",//image.msscdn.net/images/goods_img/20210930/2156653/2156653_6_500.jpg?t=20221107154807,74%,26%,6%,34%,30%,16%,9%,5%
SIGNATURE DOWN JACKET [IVORY],https://www.musinsa.com/app/goods/2148734,199000,189050,5252 바이 오아이오아이,5.5천 회 이상,50개 이상,"1,103",//image.msscdn.net/images/goods_img/20210927/2148734/2148734_4_500.jpg?t=20221107141631,19%,81%,13%,35%,8%,5%,2%,37%
[Woman]덕다운 빅후드 패딩_Natural Beige,https://www.musinsa.com/app/goods/2856506,148000,118000,라퍼지 포 우먼,6.8천 회 이상,50개 이상,621,//image.msscdn.net/images/goods_img/20221012/2856506/2856506_2_500.jpg?t=20221018105348,11%,89%,3%,15%,33%,20%,11%,18%
리버시블 퀼팅 M-51 피쉬테일 파카 카키,https://www.musinsa.com/app/goods/2900752,219000,153300,커버낫,9천 회 이상,50개 이상,535,//image.msscdn.net/images/goods_img/20221027/2900752/2900752_1_500.jpg?t=20221027191408,53%,47%,2%,7%,14%,21%,30%,26%
level7 monster long parka grey,https://www.musinsa.com/app/goods/2172517,339000,169500,유니폼브릿지,5.3천 회 이상,50개 이상,531,//image.msscdn.net/images/goods_img/20211012/2172517/2172517_1_500.jpg?t=20211027161534,87%,13%,1%,23%,43%,25%,5%,3%
베이직 미디움로고 U넥 중경량 패딩 NY (Black),https://www.musinsa.com/app/goods/2794077,239000,239000,엠엘비,5천 회 이상,50개 이상,656,//image.msscdn.net/images/goods_img/20220915/2794077/2794077_1_500.jpg?t=20220915144802,34%,66%,15%,15%,25%,6%,14%,25%
QUILTING PADDED JACKET (KHAKI) [LRQWCUP222M],https://www.musinsa.com/app/goods/2779819,99000,79200,그루브라임,1.6천 회 이상,50개 미만,68,//image.msscdn.net/images/goods_img/20220907/2779819/2779819_2_500.jpg?t=20221005162844,59%,41%,0%,23%,18%,14%,13%,32%
RDS 유틸리티 다운 점퍼 세이지그린,https://www.musinsa.com/app/goods/2134814,269000,188300,커버낫,8천 회 이상,300개 이상,"1,228",//image.msscdn.net/images/goods_img/20210916/2134814/2134814_1_500.jpg?t=20220628164359,57%,43%,4%,12%,25%,20%,17%,22%
3M신슐레이트 패딩 퀼팅 자켓 MJK106 [BLACK],https://www.musinsa.com/app/goods/1631977,179000,69000,미니멀프로젝트,2.9만 회 이상,1.1천 개 이상,"4,516",//image.msscdn.net/images/goods_img/20200929/1631977/1631977_6_500.jpg?t=20220628160604,80%,20%,8%,29%,36%,14%,6%,7%
NJ1DN97A 여성 셰르파 눕시 자켓,https://www.musinsa.com/app/goods/2949379,349000,349000,노스페이스,6.6천 회 이상,,657,//image.msscdn.net/images/goods_img/20221118/2949379/2949379_1_500.jpg?t=20221118111949,,,,,,,,
트위치 로고 카라리스 미들다운 자켓 베이지,https://www.musinsa.com/app/goods/2686484,129000,96750,리,1.7만 회 이상,300개 이상,"1,232",//image.msscdn.net/images/goods_img/20220728/2686484/2686484_5_500.jpg?t=20220906160735,25%,75%,10%,16%,30%,17%,10%,17%
다운 푸퍼 숏 패딩 재킷 [네이비],https://www.musinsa.com/app/goods/1555230,119900,119900,무신사 스탠다드,4.1천 회 이상,100개 이상,434,//image.msscdn.net/images/goods_img/20200819/1555230/1555230_2_500.jpg?t=20201102162947,71%,29%,6%,12%,22%,26%,16%,18%
[SOF-WARM] 블랙 코듀로이 퍼 카라 여성 중경량 구스 롱다운,https://www.musinsa.com/app/goods/2774919,299000,239200,질스튜어트 스포츠 뉴욕,4.1천 회 이상,50개 미만,280,//image.msscdn.net/images/goods_img/20220906/2774919/2774919_7_500.jpg?t=20221122140354,13%,88%,2%,5%,15%,22%,15%,41%
(VLADIMIR) Sorona® LEVEL 7 몬스터 파카_블랙,https://www.musinsa.com/app/goods/2859458,158000,119000,디미트리블랙,7.1천 회 이상,50개 미만,271,//image.msscdn.net/images/goods_img/20221013/2859458/2859458_2_500.jpg?t=20221024115330,93%,7%,2%,16%,25%,34%,7%,16%
N214UDW890 카이만 PRO RDS 구스 다운 점퍼 SMALL LOGO BLACK,https://www.musinsa.com/app/goods/2090574,439000,277300,내셔널지오그래픽,7천 회 이상,1.5천 개 이상,"3,546",//image.msscdn.net/images/goods_img/20210826/2090574/2090574_1_500.jpg?t=20220628163619,52%,48%,8%,28%,33%,10%,5%,16%
N224MPD901 스탠다드 세미 오버핏 패디드 자켓 CARBON BLACK,https://www.musinsa.com/app/goods/2776496,169000,159000,내셔널지오그래픽,5.9천 회 이상,100개 이상,372,//image.msscdn.net/images/goods_img/20220907/2776496/2776496_1_500.jpg?t=20220907110014,53%,47%,6%,5%,18%,18%,20%,33%
유니섹스 푸퍼 숏패딩 블랙,https://www.musinsa.com/app/goods/1558581,79000,69800,언아웃핏,1.6만 회 이상,2천 개 이상,"5,272",//image.msscdn.net/images/goods_img/20200821/1558581/1558581_3_500.jpg?t=20220923115503,66%,34%,19%,39%,22%,8%,3%,9%
여성) 퀼팅 리버시블 롱 다운 점퍼,https://www.musinsa.com/app/goods/2925936,399000,399000,라이프워크,700회 이상,,49,//image.msscdn.net/images/goods_img/20221107/2925936/2925936_2_500.jpg?t=20221107183659,,,,,,,,
오버핏 유틸리티 몬스터 파카-블랙,https://www.musinsa.com/app/goods/2189731,132000,79900,필루미네이트,2.4만 회 이상,600개 이상,"3,163",//image.msscdn.net/images/goods_img/20211020/2189731/2189731_4_500.jpg?t=20221012144631,70%,30%,4%,17%,29%,25%,15%,10%
OP 몬스터 파카 [2 COLOR],https://www.musinsa.com/app/goods/2809565,159000,143100,오션퍼시픽,2천 회 이상,50개 이상,167,//image.msscdn.net/images/goods_img/20220921/2809565/2809565_1_500.jpg?t=20220921175609,59%,41%,1%,20%,24%,22%,13%,20%
101 RDS Middle Oversized Puffer Down Hot Pink,https://www.musinsa.com/app/goods/2796523,248000,210800,스컬프터,3천 회 이상,50개 미만,550,//image.msscdn.net/images/goods_img/20220916/2796523/2796523_3_500.jpg?t=20220929171841,32%,68%,8%,28%,36%,8%,4%,16%
NBNPC4W902 / [연아다운] WOMEN 에센셜 플라워 숏 다운(GRAY),https://www.musinsa.com/app/goods/2893305,329000,329000,뉴발란스,6.5천 회 이상,,421,//image.msscdn.net/images/goods_img/20221026/2893305/2893305_2_500.jpg?t=20221102152147,,,,,,,,
[20FW] 더블 다운 코트 BLACK,https://www.musinsa.com/app/goods/1630217,249000,99600,인사일런스,1.7만 회 이상,100개 이상,708,//image.msscdn.net/images/goods_img/20200929/1630217/1630217_2_500.jpg?t=20201006160436,82%,18%,4%,14%,36%,22%,12%,12%
베르겐 고어 구스다운 여성 롱패딩 (BLACK),https://www.musinsa.com/app/goods/2848952,750000,750000,디스커버리 익스페디션,1.5천 회 이상,,76,//image.msscdn.net/images/goods_img/20221007/2848952/2848952_2_500.jpg?t=20221110214141,,,,,,,,
남성 스틸링 블랙 폭스 퍼 파카 - 블랙 / MK4661MP291,https://www.musinsa.com/app/goods/2810087,2050000,1080000,무스너클,3.7천 회 이상,,74,//image.msscdn.net/images/goods_img/20220922/2810087/2810087_1_500.jpg?t=20221018132845,,,,,,,,
세미 오버 레더 패딩_블랙,https://www.musinsa.com/app/goods/2801125,129000,103200,바스틱,6.3천 회 이상,100개 이상,566,//image.msscdn.net/images/goods_img/20220919/2801125/2801125_1_500.jpg?t=20220921193144,85%,15%,15%,38%,31%,6%,4%,6%
시그니처 로고 덕다운 숏 패딩 2 color,https://www.musinsa.com/app/goods/2103781,318000,177900,에이치덱스,2.8천 회 이상,100개 이상,323,//image.msscdn.net/images/goods_img/20210901/2103781/2103781_1_500.jpg?t=20221111151512,53%,47%,12%,31%,23%,6%,9%,19%
N224WDW720 여성 골든몰 숏기장 구스 다운 후디 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/2710743,319000,289000,내셔널지오그래픽,6.8천 회 이상,50개 이상,573,//image.msscdn.net/images/goods_img/20220810/2710743/2710743_4_500.jpg?t=20221026150847,22%,78%,10%,12%,15%,15%,10%,38%
[3M 신슐레이트] 퀄팅 가디건 후드자켓_Cream,https://www.musinsa.com/app/goods/2813313,76000,59900,라퍼지스토어,2.3만 회 이상,400개 이상,"2,222",//image.msscdn.net/images/goods_img/20220922/2813313/2813313_1_500.jpg?t=20220922210343,23%,77%,8%,28%,28%,18%,7%,11%
스카우트 퀼티드 윈드 브레이커 블랙,https://www.musinsa.com/app/goods/2844728,119000,75900,트래블,1만 회 이상,100개 이상,723,//image.msscdn.net/images/goods_img/20221006/2844728/2844728_1_500.jpg?t=20221013202510,39%,61%,8%,23%,30%,14%,10%,15%
디테쳐블 후드 패딩 [글로시 블랙],https://www.musinsa.com/app/goods/2895630,178000,160200,밀로,3천 회 이상,50개 미만,201,//image.msscdn.net/images/goods_img/20221026/2895630/2895630_1_500.jpg?t=20221027112741,80%,20%,4%,44%,44%,0%,4%,4%
light puffer down parka black,https://www.musinsa.com/app/goods/2890642,369000,332100,유니폼브릿지,3.6천 회 이상,,173,//image.msscdn.net/images/goods_img/20221025/2890642/2890642_1_500.jpg?t=20221031165519,,,,,,,,
Fleece Lining Short Padding (GK4JPU406KH),https://www.musinsa.com/app/goods/1156940,299000,44850,지프,3.2만 회 이상,100개 이상,"1,670",//image.msscdn.net/images/goods_img/20190918/1156940/1156940_3_500.jpg?t=20191220143525,39%,61%,5%,21%,31%,16%,11%,16%
LMC OG PUFFER DUCK DOWN PARKA black,https://www.musinsa.com/app/goods/2807918,248000,198400,엘엠씨,1.5만 회 이상,100개 이상,"1,792",//image.msscdn.net/images/goods_img/20220921/2807918/2807918_1_500.jpg?t=20220923160914,32%,68%,26%,22%,14%,9%,3%,26%
NBNPC4W922 / [연아다운] WOMEN 벨로아 숏 구스 다운 자켓 (CREAM),https://www.musinsa.com/app/goods/2888434,359000,359000,뉴발란스,3.7천 회 이상,,267,//image.msscdn.net/images/goods_img/20221024/2888434/2888434_2_500.jpg?t=20221102153445,,,,,,,,
CORDUROY COLLAR WARM UP QUILTING JACKET IVORY,https://www.musinsa.com/app/goods/2788237,109000,76300,예일,3.2만 회 이상,200개 이상,"3,202",//image.msscdn.net/images/goods_img/20220913/2788237/2788237_11_500.jpg?t=20221028163252,21%,79%,8%,25%,32%,17%,8%,10%
(올시즌) 2-WAY 푸퍼 헤비 덕다운 자켓_블랙,https://www.musinsa.com/app/goods/2838103,165000,99000,디미트리블랙,2.4만 회 이상,50개 이상,564,//image.msscdn.net/images/goods_img/20221004/2838103/2838103_3_500.jpg?t=20221021140917,79%,21%,13%,20%,20%,23%,8%,16%
22AW 2ND Goose Down Parka (Steel Gray),https://www.musinsa.com/app/goods/2851509,506000,506000,어나더 오피스,8천 회 이상,50개 미만,276,//image.msscdn.net/images/goods_img/20221011/2851509/2851509_1_500.jpg?t=20221021101122,97%,3%,3%,14%,33%,25%,22%,3%
HOODED PUFFER DOWN PARKA 002 _ GRAY,https://www.musinsa.com/app/goods/2871122,268000,227800,프리즘웍스,5천 회 이상,50개 미만,265,//image.msscdn.net/images/goods_img/20221018/2871122/2871122_1_500.jpg?t=20221020202147,70%,30%,11%,19%,30%,19%,2%,19%
CLOVER SHORT DOWN-BLACK,https://www.musinsa.com/app/goods/2766721,259000,181300,에이카화이트,1천 회 이상,,66,//image.msscdn.net/images/goods_img/20220902/2766721/2766721_1_500.jpg?t=20221027112352,,,,,,,,
반슬리 다운 여성 롱패딩 (BLACK),https://www.musinsa.com/app/goods/2782250,349000,349000,디스커버리 익스페디션,5.6천 회 이상,50개 미만,390,//image.msscdn.net/images/goods_img/20220908/2782250/2782250_3_500.jpg?t=20221118151856,23%,77%,6%,30%,23%,4%,11%,26%
[3PACK] WARM UP SHORT PUFFER (PADDING) BLACK,https://www.musinsa.com/app/goods/2922253,308000,149000,예일,1.2만 회 이상,50개 이상,630,//image.msscdn.net/images/goods_img/20221104/2922253/2922253_1_500.jpg?t=20221104145636,40%,60%,5%,32%,37%,10%,5%,11%
NJ1DN97B 여성 셰르파 눕시 자켓,https://www.musinsa.com/app/goods/2949381,349000,349000,노스페이스,9.1천 회 이상,,918,//image.msscdn.net/images/goods_img/20221118/2949381/2949381_1_500.jpg?t=20221118112039,,,,,,,,
[20FW] 88라이징 구스 패딩 점퍼  SMOT4268,https://www.musinsa.com/app/goods/1680448,145000,58000,퍼스텝,2.6천 회 이상,50개 이상,251,//image.msscdn.net/images/goods_img/20201106/1680448/1680448_2_500.jpg?t=20211027112737,61%,39%,6%,8%,21%,26%,11%,28%
트위치 로고 카라리스 미들다운 자켓 카키,https://www.musinsa.com/app/goods/2686480,129000,96750,리,1만 회 이상,100개 이상,688,//image.msscdn.net/images/goods_img/20220728/2686480/2686480_3_500.jpg?t=20220906160815,39%,61%,6%,18%,32%,21%,7%,16%
[20FW] N204UDW950 블루웨일 RDS 덕 다운 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/1645856,499000,299400,내셔널지오그래픽,3.6천 회 이상,50개 이상,"1,102",//image.msscdn.net/images/goods_img/20201013/1645856/1645856_1_500.jpg?t=20220628154928,64%,36%,2%,14%,25%,17%,7%,35%
디터쳐블 후드 다운 점퍼 블랙,https://www.musinsa.com/app/goods/2732387,299000,209000,플랙,4.8천 회 이상,50개 미만,268,//image.msscdn.net/images/goods_img/20220822/2732387/2732387_3_500.jpg?t=20220825153231,86%,14%,9%,23%,27%,14%,18%,9%
엠버서더 숏패딩(GL5JPU292BK),https://www.musinsa.com/app/goods/1540458,149000,74500,지프,1.3만 회 이상,200개 이상,"3,381",//image.msscdn.net/images/goods_img/20200807/1540458/1540458_2_500.jpg?t=20200821135031,41%,59%,10%,15%,20%,22%,17%,16%
시티캠퍼 경량 다운 자켓_DC,https://www.musinsa.com/app/goods/2723996,219000,219000,스노우피크 어패럴,4.5천 회 이상,50개 이상,200,//image.msscdn.net/images/goods_img/20220818/2723996/2723996_1_500.jpg?t=20220818102215,80%,20%,3%,4%,20%,31%,23%,19%
3M 신슐레이트 퀼팅자켓 카키 FPJ201,https://www.musinsa.com/app/goods/2145692,169000,69000,플루크,2만 회 이상,1.2천 개 이상,"2,935",//image.msscdn.net/images/goods_img/20210924/2145692/2145692_7_500.jpg?t=20220118115304,81%,19%,7%,19%,27%,18%,15%,14%
미들 몬스터 패딩_카키,https://www.musinsa.com/app/goods/2744522,159000,119000,코드그라피,2만 회 이상,100개 이상,693,//image.msscdn.net/images/goods_img/20220825/2744522/2744522_2_500.jpg?t=20221017100410,85%,15%,2%,20%,29%,24%,7%,18%
베이직 체스트 포켓 점퍼 8141 아이보리,https://www.musinsa.com/app/goods/2843175,258000,180600,캉골,3.6천 회 이상,,361,//image.msscdn.net/images/goods_img/20221006/2843175/2843175_6_500.jpg?t=20221114143512,,,,,,,,
유니 에센셜  롱다운 자켓(FS2DJE4103XBLK),https://www.musinsa.com/app/goods/2889987,329000,219000,휠라,1.5천 회 이상,,101,//image.msscdn.net/images/goods_img/20221025/2889987/2889987_1_500.jpg?t=20221025141001,,,,,,,,
남 블랙 울트라 라이트 스탠드 카라 다운 재킷 J322318 BEH,https://www.musinsa.com/app/goods/2771766,239000,156100,캘빈클라인 진,4.2천 회 이상,50개 미만,348,//image.msscdn.net/images/goods_img/20220906/2771766/2771766_11_500.jpg?t=20220929180737,80%,20%,33%,47%,3%,10%,0%,7%
HEAVY DUTY DOWN JACKET 101 LIGHT GRAY,https://www.musinsa.com/app/goods/2838217,269000,228650,노티카,3.1천 회 이상,50개 미만,118,//image.msscdn.net/images/goods_img/20221004/2838217/2838217_2_500.jpg?t=20221009230315,94%,6%,3%,6%,25%,22%,16%,28%
COVERNAT X BLACK YAK 퀼팅 집업 자켓 블랙,https://www.musinsa.com/app/goods/2862582,179000,161100,커버낫,9.9천 회 이상,50개 이상,394,//image.msscdn.net/images/goods_img/20221014/2862582/2862582_3_500.jpg?t=20221026133422,56%,44%,5%,3%,15%,27%,25%,25%
[가죽 패딩 ver.] WOMEN 덕다운 크롭 오버핏 레더 패딩 [BLACK] 오리털 숏패딩,https://www.musinsa.com/app/goods/2184915,267000,213600,콜릿,6천 회 이상,300개 이상,"5,370",//image.msscdn.net/images/goods_img/20211019/2184915/2184915_1_500.jpg?t=20220628164724,11%,89%,7%,41%,33%,10%,3%,6%
[스키즈 착용] BASIC DUCKDOWN PARKA GREY(MG2BWMB900A),https://www.musinsa.com/app/goods/2135924,169000,135200,마하그리드,1.8만 회 이상,500개 이상,"2,081",//image.msscdn.net/images/goods_img/20210916/2135924/2135924_3_500.jpg?t=20221017113406,22%,78%,19%,25%,22%,10%,5%,19%
RIOPELE 헤비 구스 다운 자켓 CREAM,https://www.musinsa.com/app/goods/2780200,333000,266400,인사일런스,7.3천 회 이상,50개 미만,224,//image.msscdn.net/images/goods_img/20220907/2780200/2780200_2_500.jpg?t=20220923163149,94%,6%,1%,6%,28%,47%,9%,9%
[박서준 착용] 남 그레이 릴렉스핏 퀼티드 다운 숏 푸퍼 재킷 J323234 PQY,https://www.musinsa.com/app/goods/2869436,279000,251100,캘빈클라인 진,1.9만 회 이상,100개 이상,"1,046",//image.msscdn.net/images/goods_img/20221017/2869436/2869436_11_500.jpg?t=20221028151713,78%,22%,11%,36%,27%,16%,2%,8%
TC4-JP05 시티 숏 다운 -네이비,https://www.musinsa.com/app/goods/2196270,297000,297000,토마스모어,5.5천 회 이상,200개 이상,"1,834",//image.msscdn.net/images/goods_img/20211025/2196270/2196270_1_500.jpg?t=20211025164912,80%,20%,4%,18%,38%,19%,13%,8%
여성 롱 라이트 다운 코트 베이지,https://www.musinsa.com/app/goods/2768164,199000,159200,리,6.5천 회 이상,50개 미만,841,//image.msscdn.net/images/goods_img/20220905/2768164/2768164_2_500.jpg?t=20220907150929,18%,82%,0%,5%,29%,45%,13%,8%
[아이브 레이 PICK] 클럽 파이핑 숏 패딩 점퍼 - 그레이,https://www.musinsa.com/app/goods/1231284,129000,94000,에프씨엠엠,8.3천 회 이상,900개 이상,"4,987",//image.msscdn.net/images/goods_img/20191120/1231284/1231284_10_500.jpg?t=20220830133533,42%,58%,14%,24%,22%,16%,8%,16%
INSIDEOUT PUFFER GOOSE DOWN GREY,https://www.musinsa.com/app/goods/2679330,389000,350100,메종미네드,5.7천 회 이상,,399,//image.msscdn.net/images/goods_img/20220722/2679330/2679330_1_500.jpg?t=20221017152443,,,,,,,,
WOMENS FLUFFY DOWN JACKET (FOIL BLACK),https://www.musinsa.com/app/goods/2740089,219000,194000,엠엠지엘,7.7천 회 이상,50개 이상,548,//image.msscdn.net/images/goods_img/20220824/2740089/2740089_3_500.jpg?t=20221102102941,15%,85%,0%,20%,34%,23%,9%,14%
E_마조람 롱다운_Black,https://www.musinsa.com/app/goods/2718021,335000,199000,케이투,4.4천 회 이상,50개 이상,454,//image.msscdn.net/images/goods_img/20220816/2718021/2718021_1_500.jpg?t=20220816133454,46%,54%,1%,32%,48%,11%,4%,4%
